batting_team_ACCENTURE ,batting_team_ROYAL ENFIELD,bowling_team_ACCENTURE ,bowling_team_ROYAL ENFIELD,wickets,Overs,runs,ball_counts,runrate_ball,Date
1,0,0,1,0,1.1,1,1,0.028985507,14-07-2021
1,0,0,1,0,1.2,1,2,0.028985507,15-07-2021
1,0,0,1,0,1.3,5,3,0.144927536,16-07-2021
1,0,0,1,0,1.4,7,4,0.202898551,19-07-2021
1,0,0,1,0,1.4,10,5,0.289855072,20-07-2021
1,0,0,1,0,1.5,10,6,0.289855072,21-07-2021
1,0,0,1,0,1.6,10,7,0.289855072,22-07-2021
1,0,0,1,0,2.1,11,8,0.31884058,23-07-2021
1,0,0,1,0,2.2,12,9,0.347826087,26-07-2021
1,0,0,1,0,2.3,16,10,0.463768116,27-07-2021
1,0,0,1,0,2.4,16,11,0.463768116,28-07-2021
1,0,0,1,1,2.5,16,12,0.463768116,29-07-2021
1,0,0,1,1,2.6,16,13,0.463768116,30-07-2021
1,0,0,1,1,3.1,17,14,0.492753623,02-08-2021
1,0,0,1,1,3.2,17,15,0.492753623,03-08-2021
1,0,0,1,1,3.3,18,16,0.52173913,04-08-2021
1,0,0,1,1,3.4,22,17,0.637681159,05-08-2021
1,0,0,1,1,3.5,22,18,0.637681159,06-08-2021
1,0,0,1,1,3.6,22,19,0.637681159,09-08-2021
1,0,0,1,1,4.1,23,20,0.666666667,10-08-2021
1,0,0,1,1,4.1,23,21,0.666666667,11-08-2021
1,0,0,1,1,4.2,24,22,0.695652174,12-08-2021
1,0,0,1,1,4.3,28,23,0.811594203,13-08-2021
1,0,0,1,1,4.4,29,24,0.84057971,16-08-2021
1,0,0,1,1,4.5,29,25,0.84057971,17-08-2021
1,0,0,1,1,4.6,29,26,0.84057971,18-08-2021
1,0,0,1,1,5.1,30,27,0.869565217,19-08-2021
1,0,0,1,1,5.1,34,28,0.985507246,20-08-2021
1,0,0,1,1,5.2,34,29,0.985507246,23-08-2021
1,0,0,1,1,5.3,34,30,0.985507246,24-08-2021
1,0,0,1,1,5.4,35,31,1.014492754,25-08-2021
1,0,0,1,1,5.5,35,32,1.014492754,26-08-2021
1,0,0,1,1,5.6,36,33,1.043478261,27-08-2021
1,0,0,1,1,6.1,36,34,1.043478261,30-08-2021
1,0,0,1,1,6.2,39,35,1.130434783,31-08-2021
1,0,0,1,1,6.3,40,36,1.15942029,01-09-2021
1,0,0,1,1,6.4,40,37,1.15942029,02-09-2021
1,0,0,1,1,6.5,41,38,1.188405797,03-09-2021
1,0,0,1,1,6.6,47,39,1.362318841,07-09-2021
1,0,0,1,1,7.1,47,40,1.362318841,08-09-2021
1,0,0,1,1,7.2,51,41,1.47826087,09-09-2021
1,0,0,1,1,7.3,51,42,1.47826087,10-09-2021
1,0,0,1,1,7.4,51,43,1.47826087,13-09-2021
1,0,0,1,1,7.5,52,44,1.507246377,14-09-2021
1,0,0,1,1,7.5,53,45,1.536231884,15-09-2021
1,0,0,1,1,7.5,53,46,1.536231884,16-09-2021
1,0,0,1,1,7.6,54,47,1.565217391,17-09-2021
1,0,0,1,1,8.1,54,48,1.565217391,20-09-2021
1,0,0,1,1,8.2,54,49,1.565217391,21-09-2021
1,0,0,1,1,8.3,58,50,1.68115942,22-09-2021
1,0,0,1,1,8.4,62,51,1.797101449,23-09-2021
1,0,0,1,1,8.5,63,52,1.826086957,24-09-2021
1,0,0,1,1,8.6,67,53,1.942028986,27-09-2021
1,0,0,1,1,9.1,68,54,1.971014493,28-09-2021
1,0,0,1,1,9.2,69,55,2,29-09-2021
1,0,0,1,1,9.3,70,56,2.028985507,30-09-2021
1,0,0,1,1,9.4,71,57,2.057971014,01-10-2021
1,0,0,1,1,9.5,72,58,2.086956522,04-10-2021
1,0,0,1,1,9.6,73,59,2.115942029,05-10-2021
1,0,0,1,1,10.1,73,60,2.115942029,06-10-2021
1,0,0,1,1,10.2,74,61,2.144927536,07-10-2021
1,0,0,1,1,10.3,75,62,2.173913043,08-10-2021
1,0,0,1,1,10.3,76,63,2.202898551,11-10-2021
1,0,0,1,1,10.4,80,64,2.31884058,12-10-2021
1,0,0,1,1,10.5,81,65,2.347826087,13-10-2021
1,0,0,1,2,10.6,81,66,2.347826087,14-10-2021
1,0,0,1,2,10.6,81,67,2.347826087,15-10-2021
1,0,0,1,2,11.1,82,68,2.376811594,18-10-2021
1,0,0,1,2,11.2,88,69,2.550724638,19-10-2021
1,0,0,1,2,11.3,89,70,2.579710145,20-10-2021
1,0,0,1,2,11.4,90,71,2.608695652,21-10-2021
1,0,0,1,2,11.5,91,72,2.637681159,22-10-2021
1,0,0,1,2,11.6,95,73,2.753623188,25-10-2021
1,0,0,1,2,12.1,95,74,2.753623188,26-10-2021
1,0,0,1,2,12.2,96,75,2.782608696,27-10-2021
1,0,0,1,2,12.3,100,76,2.898550725,28-10-2021
1,0,0,1,2,12.4,100,77,2.898550725,29-10-2021
1,0,0,1,2,12.5,100,78,2.898550725,01-11-2021
1,0,0,1,2,12.6,100,79,2.898550725,02-11-2021
1,0,0,1,2,13.1,101,80,2.927536232,03-11-2021
1,0,0,1,2,13.2,101,81,2.927536232,04-11-2021
1,0,0,1,2,13.3,102,82,2.956521739,05-11-2021
1,0,0,1,2,13.3,102,83,2.956521739,08-11-2021
1,0,0,1,2,13.4,103,84,2.985507246,09-11-2021
1,0,0,1,2,13.5,104,85,3.014492754,10-11-2021
1,0,0,1,2,13.6,104,86,3.014492754,11-11-2021
1,0,0,1,2,14.1,105,87,3.043478261,12-11-2021
1,0,0,1,2,14.2,106,88,3.072463768,15-11-2021
1,0,0,1,2,14.3,107,89,3.101449275,16-11-2021
1,0,0,1,2,14.4,112,90,3.246376812,17-11-2021
1,0,0,1,2,14.4,112,91,3.246376812,18-11-2021
1,0,0,1,2,14.5,113,92,3.275362319,19-11-2021
1,0,0,1,2,14.6,113,93,3.275362319,22-11-2021
1,0,0,1,2,15.1,114,94,3.304347826,23-11-2021
1,0,0,1,3,15.2,114,95,3.304347826,24-11-2021
1,0,0,1,3,15.3,114,96,3.304347826,26-11-2021
1,0,0,1,3,15.4,114,97,3.304347826,29-11-2021
1,0,0,1,3,15.5,114,98,3.304347826,30-11-2021
1,0,0,1,3,15.6,118,99,3.420289855,01-12-2021
1,0,0,1,3,16.1,118,100,3.420289855,02-12-2021
1,0,0,1,3,16.2,118,101,3.420289855,03-12-2021
1,0,0,1,3,16.3,118,102,3.420289855,06-12-2021
1,0,0,1,3,16.4,118,103,3.420289855,07-12-2021
1,0,0,1,3,16.5,119,104,3.449275362,08-12-2021
1,0,0,1,3,16.6,119,105,3.449275362,09-12-2021
1,0,0,1,3,17.1,119,106,3.449275362,10-12-2021
1,0,0,1,3,17.2,123,107,3.565217391,13-12-2021
1,0,0,1,3,17.3,123,108,3.565217391,14-12-2021
1,0,0,1,3,17.4,127,109,3.68115942,15-12-2021
1,0,0,1,3,17.5,128,110,3.710144928,16-12-2021
1,0,0,1,3,17.6,128,111,3.710144928,17-12-2021
1,0,0,1,3,18.1,128,112,3.710144928,20-12-2021
1,0,0,1,3,18.2,129,113,3.739130435,21-12-2021
1,0,0,1,3,18.3,130,114,3.768115942,22-12-2021
1,0,0,1,3,18.3,131,115,3.797101449,23-12-2021
1,0,0,1,3,18.4,132,116,3.826086957,27-12-2021
1,0,0,1,3,18.5,132,117,3.826086957,28-12-2021
1,0,0,1,3,18.6,132,118,3.826086957,29-12-2021
1,0,0,1,3,19.1,132,119,3.826086957,30-12-2021
1,0,0,1,3,19.2,132,120,3.826086957,31-12-2021
1,0,0,1,3,19.3,133,121,3.855072464,03-01-2022
1,0,0,1,3,19.4,134,122,3.884057971,04-01-2022
1,0,0,1,3,19.5,135,123,3.913043478,05-01-2022
1,0,0,1,3,19.6,135,124,3.913043478,06-01-2022
1,0,0,1,3,20.1,135,125,3.913043478,07-01-2022
1,0,0,1,3,20.2,139,126,4.028985507,10-01-2022
1,0,0,1,4,20.3,139,127,4.028985507,11-01-2022
1,0,0,1,4,20.4,139,128,4.028985507,12-01-2022
1,0,0,1,4,20.5,140,129,4.057971014,13-01-2022
1,0,0,1,4,20.6,140,130,4.057971014,14-01-2022
1,0,0,1,4,21.1,141,131,4.086956522,18-01-2022
1,0,0,1,4,21.2,142,132,4.115942029,19-01-2022
1,0,0,1,4,21.3,142,133,4.115942029,20-01-2022
1,0,0,1,4,21.4,142,134,4.115942029,21-01-2022
1,0,0,1,4,21.5,143,135,4.144927536,24-01-2022
1,0,0,1,4,21.6,143,136,4.144927536,25-01-2022
1,0,0,1,4,22.1,143,137,4.144927536,26-01-2022
1,0,0,1,4,22.2,143,138,4.144927536,27-01-2022
1,0,0,1,4,22.3,144,139,4.173913043,28-01-2022
1,0,0,1,4,22.4,144,140,4.173913043,31-01-2022
1,0,0,1,4,22.5,145,141,4.202898551,01-02-2022
1,0,0,1,4,22.6,147,142,4.260869565,02-02-2022
1,0,0,1,4,23.1,147,143,4.260869565,03-02-2022
1,0,0,1,4,23.2,151,144,4.376811594,04-02-2022
1,0,0,1,4,23.3,151,145,4.376811594,07-02-2022
1,0,0,1,4,23.4,154,146,4.463768116,08-02-2022
1,0,0,1,4,23.5,155,147,4.492753623,09-02-2022
1,0,0,1,4,23.6,155,148,4.492753623,10-02-2022
1,0,0,1,4,24.1,159,149,4.608695652,11-02-2022
1,0,0,1,4,24.2,160,150,4.637681159,14-02-2022
1,0,0,1,4,24.3,164,151,4.753623188,15-02-2022
1,0,0,1,4,24.4,164,152,4.753623188,16-02-2022
1,0,0,1,4,24.5,166,153,4.811594203,17-02-2022
1,0,0,1,4,24.6,167,154,4.84057971,18-02-2022
1,0,0,1,4,25.1,168,155,4.869565217,22-02-2022
1,0,0,1,4,25.2,169,156,4.898550725,23-02-2022
1,0,0,1,4,25.3,169,157,4.898550725,24-02-2022
1,0,0,1,4,25.4,170,158,4.927536232,25-02-2022
1,0,0,1,4,25.5,170,159,4.927536232,28-02-2022
1,0,0,1,4,25.6,170,160,4.927536232,01-03-2022
1,0,0,1,4,26.1,170,161,4.927536232,02-03-2022
1,0,0,1,4,26.2,170,162,4.927536232,03-03-2022
1,0,0,1,5,26.3,170,163,4.927536232,04-03-2022
1,0,0,1,5,26.4,172,164,4.985507246,07-03-2022
1,0,0,1,6,26.5,172,165,4.985507246,08-03-2022
1,0,0,1,6,26.5,174,166,5.043478261,09-03-2022
1,0,0,1,6,26.6,175,167,5.072463768,10-03-2022
1,0,0,1,6,27.1,180,168,5.217391304,11-03-2022
1,0,0,1,6,27.1,180,169,5.217391304,14-03-2022
1,0,0,1,6,27.2,180,170,5.217391304,15-03-2022
1,0,0,1,6,27.3,182,171,5.275362319,16-03-2022
1,0,0,1,6,27.4,183,172,5.304347826,17-03-2022
1,0,0,1,6,27.5,185,173,5.362318841,18-03-2022
1,0,0,1,6,27.6,187,174,5.420289855,21-03-2022
1,0,0,1,6,28.1,187,175,5.420289855,22-03-2022
1,0,0,1,6,28.2,188,176,5.449275362,23-03-2022
1,0,0,1,6,28.3,189,177,5.47826087,24-03-2022
1,0,0,1,7,28.4,189,178,5.47826087,25-03-2022
1,0,0,1,7,28.5,191,179,5.536231884,28-03-2022
1,0,0,1,7,28.6,192,180,5.565217391,29-03-2022
1,0,0,1,7,29.1,193,181,5.594202899,30-03-2022
1,0,0,1,7,29.2,193,182,5.594202899,31-03-2022
1,0,0,1,7,29.3,194,183,5.623188406,01-04-2022
1,0,0,1,8,29.4,194,184,5.623188406,04-04-2022
1,0,0,1,9,29.5,194,185,5.623188406,05-04-2022
1,0,0,1,9,29.6,195,186,5.652173913,06-04-2022
1,0,0,1,9,30.1,197,187,5.710144928,07-04-2022
1,0,0,1,9,30.2,198,188,5.739130435,08-04-2022
1,0,0,1,9,30.3,200,189,5.797101449,11-04-2022
1,0,0,1,9,30.4,200,190,5.797101449,12-04-2022
1,0,0,1,10,30.5,200,191,5.797101449,13-04-2022
0,1,1,0,0,1.1,0,1,0,14-04-2022
0,1,1,0,0,1.2,1,2,0.028985507,18-04-2022
0,1,1,0,0,1.3,1,3,0.028985507,19-04-2022
0,1,1,0,0,1.4,5,4,0.144927536,20-04-2022
0,1,1,0,0,1.5,5,5,0.144927536,21-04-2022
0,1,1,0,0,1.6,6,6,0.173913043,22-04-2022
0,1,1,0,0,2.1,7,7,0.202898551,25-04-2022
0,1,1,0,0,2.2,7,8,0.202898551,26-04-2022
0,1,1,0,0,2.3,11,9,0.31884058,27-04-2022
0,1,1,0,0,2.4,11,10,0.31884058,28-04-2022
0,1,1,0,0,2.5,15,11,0.434782609,29-04-2022
0,1,1,0,0,2.6,15,12,0.434782609,02-05-2022
0,1,1,0,0,3.1,15,13,0.434782609,03-05-2022
0,1,1,0,0,3.2,16,14,0.463768116,04-05-2022
0,1,1,0,0,3.3,17,15,0.492753623,05-05-2022
0,1,1,0,0,3.4,17,16,0.492753623,06-05-2022
0,1,1,0,0,3.5,17,17,0.492753623,09-05-2022
0,1,1,0,0,3.6,17,18,0.492753623,10-05-2022
0,1,1,0,0,4.1,17,19,0.492753623,11-05-2022
0,1,1,0,0,4.2,18,20,0.52173913,12-05-2022
0,1,1,0,0,4.2,22,21,0.637681159,13-05-2022
0,1,1,0,0,4.3,22,22,0.637681159,16-05-2022
0,1,1,0,0,4.4,23,23,0.666666667,17-05-2022
0,1,1,0,0,4.5,23,24,0.666666667,18-05-2022
0,1,1,0,0,4.6,23,25,0.666666667,19-05-2022
0,1,1,0,0,4.7,24,26,0.695652174,20-05-2022
0,1,1,0,0,4.8,24,27,0.695652174,23-05-2022
0,1,1,0,0,5.1,24,28,0.695652174,24-05-2022
0,1,1,0,1,5.2,24,29,0.695652174,25-05-2022
